name,attribute,species,rank,f_skill,s_skill,minhp,minatk,maxhp1,maxatk1,f_skill_effect,s_skill_effect
レーヴァテイン,火,剣,10,紅蓮の守護,,34,435,217.0,2565.0,火属性キャラの最大HP上昇(大),
マナウィダンブレード,水,剣,10,霧氷の守護,,30,315,175.0,2015.0,水属性キャラの最大HP上昇(大),
七星剣,光,剣,7,天光の攻刃,,35,420,213.0,2500.0,光属性キャラの攻撃力上昇(大),
アルバコアブレード,闇,剣,10,奈落の守護,,24,345,169.0,2045.0,闇属性キャラの最大HP上昇(大),
七星剣・真,光,剣,10,天光の攻刃,,36,420,216.0,2520.0,光属性キャラの攻撃力上昇(大),
風神剣,風,剣,10,乱気の攻刃,,27,330,172.0,2030.0,風属性キャラの攻撃力上昇(大),
アンノウンソード,火,剣,15,アンノウン・ATK II,,26,340,174.0,2065.0,武器属性キャラの攻撃力上昇(EX大),
バレンタインソード,光,剣,10,天光の守護,,28,325,173.0,2025.0,光属性キャラの最大HP上昇(大),
フェアーソード,火,剣,10,ストレングス,,27,330,173.0,2015.0,武器属性キャラの攻撃力上昇(EX大),
ディープデザイア,土,剣,15,地裂の攻刃,奈落の守護,38,420,221.0,2555.0,土属性キャラの攻撃力上昇(大),闇属性キャラの最大HP上昇(大)
大地の剣,土,剣,40,巨人の守護,先制の岩壁,32,351,190.0,2201.0,HPを500上昇　※スキルLv+1につき+50土属性以外にも効果あり,バトル開始時から8ターンの間土属性キャラの防御力上昇
オブシダンソード,闇,剣,1,先制の黒の結界,,23,335,164.0,1980.0,バトル開始時、闇属性キャラにバリア効果,
ウットリュフ串,土,剣,10,大地の攻刃,土の守護,29,320,174.0,2020.0,土属性キャラの攻撃力上昇(中),土属性キャラの最大HP上昇(小)
光の剣,闇,剣,10,烈光の至恩,,23,350,167.0,2045.0,闇属性キャラの攻撃力上昇(EX大),
ブラスト・ソード,水,剣,10,自動辻斬装置,,31,310,176.0,2010.0,水属性キャラの攻撃力上昇(EX大),
オールド・エッケザックス,火,剣,60,機炎方陣・刹那,機炎方陣・背水,106,278,664.0,1677.0,火属性キャラの攻撃力上昇(中)/弱点を突いた時クリティカル確率上昇(中),火属性キャラのHPが少ないほど攻撃力が上昇(小)
エッケザックス,火,剣,60,業火の刹那,火の背水,106,278,664.0,1677.0,火属性キャラの攻撃力上昇(中)/弱点を突いた時クリティカル確率上昇(中),火属性キャラのHPが少ないほど攻撃力が上昇(小)
ショロトルリッパー,風,剣,10,竜巻の攻刃,風の技巧,23,350,168.0,2050.0,風属性キャラの攻撃力上昇(中),風属性攻撃で弱点を突いた時、クリティカル確率上昇(小)
コートシップ・ブーケ,火,剣,10,紅蓮の攻刃,,27,332,174.0,2020.0,火属性キャラの攻撃力上昇(大),
ディスペアー,闇,剣,25,奈落の攻刃,天光の攻刃,34,460,223.0,2665.0,闇属性キャラの攻撃力上昇(大),光属性キャラの攻撃力上昇(大)
S・D,火,剣,10,エクシード,,26,335,170.0,2025.0,被ダメージで火属性キャラの攻撃力上昇(EX累積),
