name,attribute,species,f_skill,s_skill,maxhp2,maxatk2,minhp,minatk,maxhp1,maxatk1,pre_f_skill,pre_s_skill,f_skill_effect,s_skill_effect,pre_f_skill_effect,pre_s_skill_effect
ミュルグレス,水,剣,霧氷の攻刃III,水の三手,290,3340,42,450,240,2760,霧氷の攻刃II,,水属性キャラの攻撃力上昇(特大),水属性キャラの連続攻撃確率上昇(小),水属性キャラの攻撃力上昇(大),
ベネディーア,火,銃,紅蓮の攻刃III,業火の克己,240,3600,31,505,196,2980,紅蓮の攻刃II,,火属性キャラの攻撃力上昇(特大),火属性キャラのダブルアタック確率上昇(中)/弱点を突いた時クリティカル確率上昇(中),火属性キャラの攻撃力上昇(大),
ガンバンテイン,光,杖,天光の攻刃III,光の三手,380,2760,53,395,317,2375,天光の攻刃II,,光属性キャラの攻撃力上昇(特大),光属性キャラの連続攻撃確率上昇(小),光属性キャラの攻撃力上昇(大),
エターナル・ラヴ,風,短剣,乱気の攻刃III,竜巻の無双,320,3200,43,445,263,2645,乱気の攻刃II,,風属性キャラの攻撃力上昇(特大),風属性キャラの攻撃力上昇(中)/ダブルアタック確率上昇(中),風属性キャラの攻撃力上昇(大),
ブルトガング,闇,剣,奈落の攻刃III,闇の刹那,280,3370,36,480,234,2790,奈落の攻刃II,,闇属性キャラの攻撃力上昇(特大),闇属性キャラの攻撃力上昇(小)/弱点を突いた時クリティカル確率上昇(小),,
エーケイ・フォーエイ,土,銃,地裂の攻刃III,土の乱舞,240,3580,34,490,199,2965,地裂の攻刃II,,,土属性キャラの攻撃力上昇(小)/トリプルアタック確率上昇(小),土属性キャラの攻撃力上昇(大),
エデン,光,槍,天光の攻刃III,雷電の渾身,340,3140,48,430,280,2600,天光の攻刃II,,光属性キャラの攻撃力上昇(特大),光属性キャラのHPが多いほど攻撃力が上昇(中),光属性キャラの攻撃力上昇(大),
パラゾニウム,闇,短剣,奈落の攻刃III,闇の三手,310,3200,40,459,259,2652,奈落の攻刃II,,闇属性キャラの攻撃力上昇(特大),闇属性キャラの連続攻撃確率上昇(小),,
リユニオン,風,短剣,乱気の攻刃III,風の神威,310,3200,42,450,260,2650,乱気の攻刃II,,風属性キャラの攻撃力上昇(特大),風属性キャラの攻撃力と最大HPが上昇(小),風属性キャラの攻撃力上昇(大),
刃鏡片,土,短剣,地裂の無双II,土の刃界,330,3180,42,428,272,2630,0,0.0,土属性キャラの攻撃力上昇(大)/ダブルアタック確率上昇(大),土属性キャラの最大HP上昇(小)/クリティカル確率上昇(小),,
イクサバ,火,刀,紅蓮の攻刃III,業火の渾身,236,3620,30,502,195,3000,紅蓮の攻刃II,,火属性キャラの攻撃力上昇(特大),,火属性キャラの攻撃力上昇(大),
ブルースフィア,水,杖,霧氷の攻刃III,渦潮の必殺,403,2780,64,375,335,2300,霧氷の攻刃II,,水属性キャラの攻撃力上昇(特大),,水属性キャラの攻撃力上昇(大),
フォールン・ソード,闇,剣,奈落の攻刃III,憎悪の渾身,0,0,36,476,241,2750,奈落の攻刃II,,闇属性キャラの攻撃力上昇(特大),闇属性キャラのHPが多いほど攻撃力が上昇(中),,
サティフィケイト,光,斧,天光の攻刃III,雷電の必殺,280,3385,41,460,232,2800,天光の攻刃II,,光属性キャラの攻撃力上昇(特大),光属性キャラの奥義ダメージUP(中)/奥義ダメージ上限上昇(中),光属性キャラの攻撃力上昇(大),
ウン・ハイル,闇,楽器,奈落の必殺,憎悪の恩寵,0,0,72,431,252,2505,0,0.0,闇属性キャラの奥義ダメージUP(大)/奥義ダメージ上限上昇(大),闇属性キャラの最大HP上昇(中)/弱体耐性UP(中),,
ケーリュケイオン,風,杖,乱気の攻刃,七宝石の結界,323,2530,46,350,277,2095,乱気の攻刃,,風属性キャラの攻撃力上昇(大),通常攻撃をした時、主人公のみ確率でカウンター効果(回避/1回),風属性キャラの攻撃力上昇(大),
