name,attribute,species,f_skill,s_skill,maxhp3,maxatk3,minhp,minatk,maxhp1,maxatk1,maxhp2,maxatk2,pre_f_skill,pre_s_skill,f_skill_effect,s_skill_effect,pre_f_skill_effect,pre_s_skill_effect
ティアマトグレイブ・マグナ,風,槍,嵐竜方陣・守護II,,292,2600,37,340,280.0,2500.0,280,2500,嵐竜方陣・守護II,,風属性キャラの最大HP上昇(大),,風属性キャラの最大HP上昇(大),
ティアマトアムード・マグナ,風,斧,嵐竜方陣・守護II,,216,2990,27,390,206.0,2870.0,206,2870,嵐竜方陣・守護II,,風属性キャラの最大HP上昇(大),,風属性キャラの最大HP上昇(大),
ティアマトガントレ・マグナ,風,格闘,嵐竜方陣・攻刃II,,281,2670,35,350,269.0,2560.0,269,2560,嵐竜方陣・攻刃II,,風属性キャラの攻撃力上昇(大),,風属性キャラの攻撃力上昇(大),
ティアマトボルト・マグナ,風,銃,嵐竜方陣・攻刃,嵐竜方陣・背水,202,3050,25,400,193.0,2930.0,193,2930,0,0.0,風属性キャラの攻撃力上昇(中),風属性キャラのHPが少ないほど攻撃力が上昇(小),,
コロッサスケーン・マグナ,火,杖,機炎方陣・攻刃II,,324,2450,40,325,302.0,2290.0,302,2290,機炎方陣・攻刃II,,火属性キャラの攻撃力上昇(大),,火属性キャラの攻撃力上昇(大),
コロッサスカービン・マグナ,火,銃,機炎方陣・守護II,,204,3060,24,405,187.0,2860.0,187,2860,機炎方陣・守護II,,火属性キャラの最大HP上昇(大),,火属性キャラの最大HP上昇(大),
コロッサスフィスト・マグナ,火,格闘,機炎方陣・見切II,,280,2670,34,355,261.0,2490.0,261,2490,機炎方陣・見切II,,火属性キャラが稀に回避カウンター(ダメージ大),,火属性キャラが稀に回避カウンター(ダメージ大),
コロッサスブレード・マグナ,火,刀,機炎方陣・背水II,,210,3030,26,400,196.0,2830.0,196,2830,機炎方陣・背水II,,火属性キャラのHPが少ないほど攻撃力が上昇(大),,火属性キャラのHPが少ないほど攻撃力が上昇(大),
レヴィアンゲイズ・マグナ,水,短剣,海神方陣・攻刃II,,273,2700,37,340,255.0,2520.0,255,2520,海神方陣・攻刃II,,水属性キャラの攻撃力上昇(大),,水属性キャラの攻撃力上昇(大),
レヴィアンスピア・マグナ,水,槍,海神方陣・技巧II,,295,2590,40,325,275.0,2420.0,275,2420,海神方陣・技巧II,,水属性攻撃で弱点を突いた時、クリティカル確率上昇(大),,水属性攻撃で弱点を突いた時、クリティカル確率上昇(大),
レヴィアンセプター・マグナ,水,杖,海神方陣・治癒II,,328,2430,44,305,306.0,2270.0,306,2270,海神方陣・治癒II,,水属性キャラの回復上限上昇(大),,水属性キャラの回復上限上昇(大),
レヴィアンボウ・マグナ,水,弓,海神方陣・守護II,,261,2830,35,355,244.0,2640.0,244,2640,海神方陣・守護II,,水属性キャラの最大HP上昇(大),,水属性キャラの最大HP上昇(大),
世界樹の晶剣・マグナ,土,剣,創樹方陣・攻刃II,,245,2840,32,365,229.0,2650.0,229,2650,創樹方陣・攻刃II,,土属性キャラの攻撃力上昇(大),,土属性キャラの攻撃力上昇(大),
世界樹の雫刃・マグナ,土,短剣,創樹方陣・守護II,,272,2700,36,345,254.0,2520.0,254,2520,創樹方陣・守護II,,土属性キャラの最大HP上昇(大),,土属性キャラの最大HP上昇(大),
世界樹の雫枝・マグナ,土,杖,創樹方陣・攻刃,創樹方陣・守護,327,2430,43,310,305.0,2270.0,305,2270,0,0.0,土属性キャラの攻撃力上昇(中),土属性キャラの最大HP上昇(中),,
世界樹の蔦弓・マグナ,土,弓,創樹方陣・背水II,,260,2830,34,360,243.0,2640.0,243,2640,創樹方陣・背水II,,土属性キャラの攻撃力がHPが少ないほど上昇(大),,土属性キャラの攻撃力がHPが少ないほど上昇(大),
シュヴァリエブージ・マグナ,光,斧,騎解方陣・守護II,霧氷の攻刃,217,2990,28,385,202.0,2790.0,202,2790,0,0.0,光属性キャラの最大HP上昇(大),水属性キャラの攻撃力上昇(大),,
シュヴァリエボルト・マグナ,光,銃,騎解方陣・攻刃II,地裂の守護,203,3050,26,395,189.0,2850.0,189,2850,0,0.0,光属性キャラの攻撃力上昇(大),土属性キャラの最大HP上昇(大),,
シュヴァリエハープ・マグナ,光,楽器,騎解方陣・攻刃II,紅蓮の守護,265,2510,61,325,249.0,2340.0,249,2340,0,0.0,光属性キャラの攻撃力上昇(大),火属性キャラの最大HP上昇(大),,
シュヴァリエソード・マグナ,光,剣,騎解方陣・神威,光の攻刃,244,2850,31,370,228.0,2660.0,228,2660,騎解方陣・神威,,光属性キャラの攻撃力と最大HPが上昇(小),光属性キャラの攻撃力上昇(小),光属性キャラの攻撃力と最大HPが上昇(小),
セレストホーン・マグナ,闇,槍,黒霧方陣・攻刃II,乱気の背水,289,2620,34,355,269.0,2450.0,269,2450,0,0.0,闇属性キャラの攻撃力上昇(大),風属性キャラのHPが少ないほど攻撃力が上昇(大),,
セレストザグナル・マグナ,闇,斧,黒霧方陣・攻刃II,霧氷の見切,213,3010,24,405,198.0,2810.0,198,2810,0,0.0,闇属性キャラの攻撃力上昇(大),水属性キャラ属性キャラが稀に回避カウンター(ダメージ大),,
セレストハープ・マグナ,闇,楽器,黒霧方陣・守護II,紅蓮の技巧,261,2530,57,345,245.0,2360.0,245,2360,0,0.0,闇属性キャラのHP上昇(大),火属性攻撃で弱点を突いた時、クリティカル確率上昇(大),,
