name,attribute,species,rank,f_skill,s_skill,minhp,minatk,maxhp1,maxatk1
レーヴァテイン,火,剣,10,紅蓮の守護,,34,435,217.0,2565.0
マナウィダンブレード,水,剣,10,霧氷の守護,,30,315,175.0,2015.0
七星剣,光,剣,7,天光の攻刃,,35,420,213.0,2500.0
アルバコアブレード,闇,剣,10,奈落の守護,,24,345,169.0,2045.0
七星剣・真,光,剣,10,天光の攻刃,,36,420,216.0,2520.0
風神剣,風,剣,10,乱気の攻刃,,27,330,172.0,2030.0
アンノウンソード,火,剣,15,アンノウン・ATK II,,26,340,174.0,2065.0
バレンタインソード,光,剣,10,天光の守護,,28,325,173.0,2025.0
フェアーソード,火,剣,10,ストレングス,,27,330,173.0,2015.0
ディープデザイア,土,剣,15,地裂の攻刃,奈落の守護,38,420,221.0,2555.0
大地の剣,土,剣,40,巨人の守護,先制の岩壁,32,351,190.0,2201.0
オブシダンソード,闇,剣,1,先制の黒の結界,,23,335,164.0,1980.0
ウットリュフ串,土,剣,10,大地の攻刃,土の守護,29,320,174.0,2020.0
光の剣,闇,剣,10,烈光の至恩,,23,350,167.0,2045.0
ブラスト・ソード,水,剣,10,自動辻斬装置,,31,310,176.0,2010.0
オールド・エッケザックス,火,剣,60,機炎方陣・刹那,機炎方陣・背水,106,278,664.0,1677.0
エッケザックス,火,剣,60,業火の刹那,火の背水,106,278,664.0,1677.0
ショロトルリッパー,風,剣,10,竜巻の攻刃,風の技巧,23,350,168.0,2050.0
コートシップ・ブーケ,火,剣,10,紅蓮の攻刃,,27,332,174.0,2020.0
ディスペアー,闇,剣,25,奈落の攻刃,天光の攻刃,34,460,223.0,2665.0
S・D,火,剣,10,エクシード,,26,335,170.0,2025.0
アントウェルペン,火,剣,10,紅蓮の攻刃,先制の炎刃,32,440,210.0,2535.0
ナーゲルリング,水,剣,10,霧氷の攻刃,水の技巧,38,410,217.0,2500.0
イイルクーン,風,剣,10,乱気の技巧,竜巻の羅刹,36,425,216.0,2520.0
カースドブレイド,闇,剣,10,ダークドレイン,カースドテンタクル,22,355,166.0,2050.0
ソード・オブ・ミカエル,火,剣,30,ミカエルの祝福II,火の神威,31,410,206.0,2465.0
ローズクリスタルソード,水,剣,60,蒼薔薇の棘,蒼薔薇の花弁,34,365,204.0,2320.0
フェアネスマーク,光,剣,10,天光の攻刃,先制の白壁,43,395,246.0,2390.0
プロトタイプ,闇,剣,10,奈落の攻刃,空と星を繋ぐ者,32,445,210.0,2550.0
聖域の守護剣,水,剣,60,霧氷の攻刃II,チェインフォース,34,367,202.0,2332.0
パーマフロスト・ソード,水,剣,10,霧氷の攻刃,水の秘奥,33,435,205.0,2575.0
スパルタン・サイフォス,　,剣,60,精兵の賦性,精兵の資質,35,377,279.0,3215.0
ハイリゲスシュヴェールト,風,剣,10,乱気の攻刃,竜巻の二手,36,420,215.0,2510.0
ウィルムスウォード,土,剣,10,竜伐の覇気,竜伐の心得,30,315,175.0,2015.0
リディル,　,剣,60,剣聖の賦性,剣聖の資質,31,397,275.0,3300.0
リバーススレッド,光,剣,10,天の理,セラフ・アッシャー,28,324,173.0,2017.0
レッドサイクロン,火,剣,10,サウザンド・ドリーム,果てなき修練,22,354,152.0,2122.0
エムブラスク・レプリカ,闇,剣,10,奈落の攻刃,闇の守護,28,424,204.0,2497.0
金属バット,風,剣,10,摩武駄致,タイマンの極意,21,360,150.0,2150.0
ゴットフリート,水,剣,10,霧氷の攻刃,水の秘奥,34,421,210.0,2610.0
ニンジンブレード,土,剣,10,地裂の攻刃,にんじんハンバーグ,20,342,158.0,2052.0
アゾット,闇,短剣,20,奈落の攻刃,紅蓮の攻刃,37,430,244.0,2500.0
フローレンベルク,火,短剣,40,勇躍の心得,,32,350,209.0,2115.0
不死鳥の嘴刃,火,短剣,10,紅蓮の守護,,29,320,190.0,1930.0
ネフティスクリス,風,短剣,10,乱気の守護,,30,315,192.0,1930.0
ダイヤモンドエッジ,光,短剣,15,天光の守護,,40,400,245.0,2450.0
四天刃,光,短剣,4,天光の攻刃,,37,370,227.0,2270.0
コムラビ,闇,短剣,15,奈落の守護,,37,430,240.0,2460.0
トリック・オア・トリート,火,短剣,15,紅蓮の攻刃,,39,420,242.0,2450.0
四天刃・真,光,短剣,10,天光の攻刃,,40,400,240.0,2400.0
オールド・コルタナ,闇,短剣,60,黒霧方陣・暴君,黒霧方陣・三手,32,379,218.0,2241.0
コルタナ,闇,短剣,60,奈落の暴君,奈落の三手,32,379,218.0,2241.0
デュアルヘリックス,光,短剣,20,天光の攻刃,奈落の攻刃,41,410,247.0,2470.0
ファントムシーフナイフ,水,短剣,20,霧氷の攻刃,水の見切,42,390,241.0,2380.0
ブラッディスカー,闇,短剣,10,奈落の技巧,闇の攻刃,38,410,241.0,2380.0
デルタ・クォーツ,火,短剣,10,紅蓮の三手,業火の見切,36,425,216.0,2495.0
ローズクリスタルナイフ,風,短剣,60,翠薔薇の棘,翠薔薇の花弁,35,365,220.0,2225.0
ダンデライオン,風,短剣,10,愛の信託,貴方へ贈る言葉,30,314,191.0,1926.0
女王の一刺し,土,短剣,10,ロイヤルギフト,ロイヤルアフェクション,32,305,194.0,1915.0
ル・フェイ,風,短剣,60,乱気の暴君,乱気の三手,40,340,241.0,2127.0
牛鬼包丁,闇,短剣,10,紅ニ染マル刃,鬼参ル丑ノ刻,20,349,155.0,2106.0
クレティネ,光,槍,10,雷電の技巧,雷電の見切,43,385,259.0,2305.0
ネフティスフォーク,風,槍,10,乱気の攻刃,,32,300,207.0,1855.0
一伐槍,光,槍,1,天光の攻刃,,42,370,251.0,2235.0
トリアイナ,水,槍,15,霧氷の攻刃,,36,290,213.0,1870.0
ローゼンメイデン,闇,槍,15,奈落の攻刃,,40,410,260.0,2360.0
一伐槍・真,光,槍,10,天光の攻刃,,43,385,260.0,2300.0
天干地支刀・未之飾,闇,槍,20,奈落の守護,乱気の攻刃,41,415,264.0,2400.0
雷神矛,光,槍,10,天光の攻刃,,33,300,208.0,1850.0
アワリティアスピア,土,槍,10,地裂の守護,,34,295,209.0,1845.0
竜槍,火,槍,15,業火の攻刃,火の守護,32,310,209.0,1890.0
貫き門松,火,槍,10,業火の攻刃,火の技巧,30,310,204.0,1860.0
デスシンボル,水,槍,20,渦潮の攻刃,水の守護,37,295,217.0,1895.0
オールド・ナラクーバラ,風,槍,60,嵐竜方陣・楚歌,嵐竜方陣・暴君,38,350,239.0,2137.0
ナラクーバラ,風,槍,60,竜巻の楚歌,乱気の暴君,38,350,239.0,2137.0
双竜槍,闇,槍,20,奈落の攻刃,反逆の闇刃,40,415,263.0,2395.0
クリスタルルーン,光,槍,10,天光の三手,光の背水,43,380,260.0,2295.0
ネプテゥヌスの三叉鉾,水,槍,40,練磨の心得,,40,315,230.0,2005.0
ランス・オブ・ニグレド,光,槍,10,腐蝕の禁術,大いなる業,32,300,206.0,1850.0
英雄王の槍,土,槍,60,地裂の攻刃II,イクシード・アース,35,364,221.0,2226.0
ゲイダーグ,土,槍,10,地裂の攻刃,先制の岩壁,40,395,250.0,2335.0
ローズクリスタルランス,土,槍,60,橙薔薇の棘,橙薔薇の花弁,45,350,250.0,2080.0
サンスポットスピア,闇,槍,10,奈落の攻刃,先制の闇刃,39,403,254.0,2316.0
ダイモーンスパイン,水,槍,10,渦潮の無双,水の守護,49,355,283.0,2175.0
くるりん祈願の金箱御守り,光,槍,50,トレハン教のご加護,トレハンストライカー ,40,318,250.0,1990.0
安心と信頼の赤箱御守り,火,槍,60,トレハン教の威光,トレハン教の導き ,43,332,273.0,2006.0
アルベス・レプリカ,火,槍,10,紅蓮の攻刃,火の守護,38,404,235.0,2411.0
コニファラス,光,槍,10,天光の守護,雷電の技巧,43,383,259.0,2299.0
ギュムノートゥス,光,槍,10,頂点捕食者,見敵必雷,33,300,195.0,1905.0
ドリル,土,槍,10,螺旋の攻刃,大いなる螺旋,35,210,290.0,1830.0
ガリレオ・サイト,水,槍,10,霧氷の渾身,,49,411,286.0,2517.0
フェードラッヘフラッグ,火,槍,10,業火の無双,火の守護,34,421,210.0,2610.0
ピンキーニードル,光,槍,10,天光の攻刃,ロックオンハート,37,406,225.0,2461.0
セイクリッドランス,火,槍,10,紅蓮の守護,業火の二手,50,350,270.0,2240.0
ギャラクティカインパクト,風,槍,10,乱気の攻刃,,36,408,222.0,2476.0
ディアドリックシンボル,風,槍,10,乱気の攻刃,竜巻の見切,46,368,261.0,2281.0
ランス・オブ・ケルヴィム,闇,槍,10,獅子と牛の咆哮,鷲と人間の思慮,26,332,200.0,1879.0
不死鳥の翼斧,火,斧,10,紅蓮の守護,,23,350,152.0,2120.0
ミドガルドの裂斧,土,斧,10,地裂の攻刃,,26,335,155.0,2115.0
ヘカトンケイレス,光,斧,10,天光の守護,,25,340,154.0,2120.0
三寅斧,光,斧,3,天光の攻刃,,29,405,181.0,2495.0
三寅斧・真,光,斧,10,天光の攻刃,,32,440,192.0,2640.0
アンノウンスタンプ,土,斧,15,アンノウン・ATK ,アンノウン・VIT,26,340,157.0,2141.0
ヴェセラゴハーケン,光,斧,15,雷電の攻刃,光の守護,25,345,157.0,2150.0
レインディアーホーン,土,斧,20,地裂の攻刃,,27,345,159.0,2175.0
フライアウェイ,火,斧,15,紅蓮の攻刃,熱狂の弾音,31,455,193.0,2695.0
ソウルイーター,闇,斧,15,奈落の攻刃,闇の技巧,29,465,191.0,2705.0
黒旋風,風,斧,20,鉄牛,防戦の猛牛,24,350,155.0,2151.0
ブラビューラ,土,斧,20,地裂の攻刃,反逆の地刃,34,450,199.0,2725.0
ファンゴルン,風,斧,10,乱気の守護,先制の雲壁,24,345,150.0,2120.0
スプリットエンド,風,斧,10,乱気の攻刃,竜巻の見切,29,445,181.0,2685.0
ブロッサムアクス,水,斧,10,霧氷の攻刃,先制の氷壁,33,434,191.0,2631.0
ローズクリスタルアクス,風,斧,60,翠薔薇の髄,翠薔薇の蕾,30,370,210.0,2300.0
ヘルマニビス,闇,斧,60,憎悪の神威,イクシード・ダーク,25,415,174.0,2463.0
ウルツァイトサイズ,土,斧,10,地裂の秘奥,土の背水,28,459,189.0,2644.0
ベルタワー,風,斧,10,心頭滅欲,菩提の探究,26,337,154.0,2118.0
クラブクラブ,土,斧,60,地裂の守護,甲殻の一撃,33,370,207.0,2300.0
バンチ・オブ・バナナス,水,斧,10,極上バナナ,大自然の衝撃,20,351,110.0,2333.0
ツーバイフォー,火,斧,10,紅蓮の暴君,火の秘奥,31,440,190.0,2640.0
ハイメタルストック,光,斧,10,雷電の刹那,光の秘奥,30,450,140.0,2890.0
クレイヴ・ソリッシュ,光,斧,10,天光の攻刃,雷電の技巧,31,442,188.0,2646.0
天干地支鈴・亥之飾,光,斧,10,天光の秘奥,雷電の渾身,30,450,180.0,2690.0
稜鏡の鎚杖,光,杖,1,天光の守護,,50,370,298.0,2230.0
サンフラワーワンド,火,杖,10,紅蓮の攻刃,,44,360,276.0,2100.0
プロミス,風,杖,20,乱気の攻刃,,31,325,198.0,1990.0
五神杖,光,杖,5,天光の攻刃,,44,330,272.0,2040.0
バビロンの導杖,土,杖,10,地裂の攻刃,,38,275,232.0,1730.0
五神杖・真,光,杖,10,天光の攻刃,,48,360,288.0,2160.0
バレンタインワンド,闇,杖,10,奈落の攻刃,,33,300,227.0,1755.0
マギ・リアリジスセプター,光,杖,10,天光の攻刃,,37,280,231.0,1735.0
ゴトルベルケーン,光,杖,1,祝福の鐘音,,32,240,200.0,1500.0
セプティアンバーナー,火,杖,40,繁栄の祭火,,39,315,250.0,1900.0
ハイロイヤルポール,風,杖,15,竜巻の攻刃,風の守護,37,290,234.0,1765.0
トリート・ウロボロス,闇,杖,15,奈落の攻刃,憎悪の治癒,45,385,289.0,2215.0
クリスマスワンド,土,杖,1,先制の黄の結界,地裂の治癒,40,285,241.0,1795.0
マグマストリーム,火,杖,20,紅蓮の守護,防戦の雲散,36,295,232.0,1770.0
ホワイトウイング,風,杖,20,乱気の技巧,風の治癒,49,375,297.0,2235.0
夢見の書,水,杖,10,霧氷の攻刃,,40,280,235.0,1700.0
