name,attribute,species,rank,f_skill,s_skill,minhp,minatk,maxhp1,maxatk1
バハムートソード・ノヴム,闇,剣,80,コンキリオ・ルーベル,,30,415,205,2470
バハムートソード・フツルス,闇,剣,80,コンキリオ・イグニス,,30,415,240,2885
バハムートダガー・ノヴム,闇,短剣,80,ヒュムアニムス・ウィス,,34,395,229,2355
バハムートダガー・フツルス,闇,短剣,80,コンキリオ・ウェントス,,34,395,268,2750
バハムートスピア・ノヴム,闇,槍,80,エルンアニムス・ウィス,,37,380,248,2260
バハムートスピア・フツルス,闇,槍,80,コンキリオ・コルヌ,,37,380,290,2640
バハムートアクス・ノヴム,闇,斧,80,ドーラアニムス・ウィス,,26,435,183,2585
バハムートアクス・フツルス,闇,斧,80,コンキリオ・テラ,,26,435,214,3015
バハムートスタッフ・ノヴム,闇,杖,80,コンキリオ・ケルレウス,,41,360,276,2120
バハムートスタッフ・フツルス,闇,杖,80,コンキリオ・インベル,,41,360,323,2475
バハムートマズル・ノヴム,闇,銃,80,ハヴンアニムス・ウィス,,24,445,171,2645
バハムートマズル・フツルス,闇,銃,80,コンキリオ・アルボス,,24,445,200,3085
バハムートナックル・ノヴム,闇,格闘,80,ヒュムアニムス・メンス,,35,390,239,2305
バハムートナックル・フツルス,闇,格闘,80,ヒュムアニムス・メンス,ヒュムアニムス・ビス,35,390,280,2690
バハムートボウ・ノヴム,闇,弓,80,エルンアニムス・メンス,,32,415,219,2460
バハムートボウ・フツルス,闇,弓,80,エルンアニムス・メンス,エルンアニムス・ビス,32,415,256,2870
バハムートハープ・ノヴム,闇,楽器,80,ハヴンアニムス・メンス,,63,370,231,2180
バハムートハープ・フツルス,闇,楽器,80,ハヴンアニムス・メンス,ハヴンアニムス・ビス,63,370,264,2545
バハムートブレイド・ノヴム,闇,刀,80,ドーラアニムス・メンス,,26,440,179,2620
バハムートブレイド・フツルス,闇,刀,80,ドーラアニムス・メンス,ドーラアニムス・ビス,26,440,209,3060
ソード・オブ・コスモス,光,剣,80,ソード・オブ・コスモス,(AT)アタック・スタンス(DF)ディフェンド・スタンス(HE)ヒール・スタンス(BL)バランス・スタンス(PC)ペキューリア・スタンス,34,398,211,2458
ダガー・オブ・コスモス,光,短剣,80,ダガー・オブ・コスモス,(AT)アタック・スタンス(DF)ディフェンド・スタンス(HE)ヒール・スタンス(BL)バランス・スタンス(PC)ペキューリア・スタンス,38,379,234,2341
ランス・オブ・コスモス,光,槍,80,ランス・オブ・コスモス,(AT)アタック・スタンス(DF)ディフェンド・スタンス(HE)ヒール・スタンス(BL)バランス・スタンス(PC)ペキューリア・スタンス,41,364,253,2247
サイス・オブ・コスモス,光,斧,80,サイス・オブ・コスモス,(AT)アタック・スタンス(DF)ディフェンド・スタンス(HE)ヒール・スタンス(BL)バランス・スタンス(PC)ペキューリア・スタンス,30,417,187,2575
ロッド・オブ・コスモス,光,杖,80,ロッド・オブ・コスモス,(AT)アタック・スタンス(DF)ディフェンド・スタンス(HE)ヒール・スタンス(BL)バランス・スタンス(PC)ペキューリア・スタンス,46,341,281,2107
ガン・オブ・コスモス,光,銃,80,ガン・オブ・コスモス,(AT)アタック・スタンス(DF)ディフェンド・スタンス(HE)ヒール・スタンス(BL)バランス・スタンス(PC)ペキューリア・スタンス,29,426,176,2633
ガントレット・オブ・コスモス,光,格闘,80,ガントレット・オブ・コスモス,(AT)アタック・スタンス(DF)ディフェンド・スタンス(HE)ヒール・スタンス(BL)バランス・スタンス(PC)ペキューリア・スタンス,40,371,243,2294
アロー・オブ・コスモス,光,弓,80,アロー・オブ・コスモス,(AT)アタック・スタンス(DF)ディフェンド・スタンス(HE)ヒール・スタンス(BL)バランス・スタンス(PC)ペキューリア・スタンス,36,396,224,2446
ハープ・オブ・コスモス,光,楽器,80,ハープ・オブ・コスモス,(AT)アタック・スタンス(DF)ディフェンド・スタンス(HE)ヒール・スタンス(BL)バランス・スタンス(PC)ペキューリア・スタンス,67,351,236,2165
ブレイド・オブ・コスモス,光,刀,80,ブレイド・オブ・コスモス,(AT)アタック・スタンス(DF)ディフェンド・スタンス(HE)ヒール・スタンス(BL)バランス・スタンス(PC)ペキューリア・スタンス,31,423,184,2610
スコフニュング,水,剣,50,不屈なる忠義,救世の聖剣,35,377,207,2385
アシュケロン,火,剣,50,征伐の剣,深紅の支配者,31,397,203,2405
カオスクリエイター,　,剣,60,奸雄の賦性,奸雄の資質,33,389,304,3100
イペタム,闇,短剣,50,混沌より出ずる暴食,殺業の凶刃,33,389,224,2301
ファウスト,土,短剣,50,森羅万象の理,禁忌の錬成,38,364,229,2276
ミセリコルデ,風,短剣,50,宵闇の住人,奸凶の牙,36,375,227,2285
ロムルスの槍,光,槍,50,深淵を照らす光明,軍神の聖槍,40,354,246,2189
ヘルムヴィーゲ,　,槍,60,雲水の賦性,雲水の資質,40,354,332,2950
アヴェンジャー,火,斧,50,剣聖の英魂,覇王の恐惶,28,416,180,2519
ベルセルク・オクス,　,斧,60,狂戦士の賦性,狂戦士の資質,28,416,244,3380
ニルヴァーナ,光,杖,50,悟りの境地,輪廻転生,44,332,274,2053
ニルヴァーナ・ウヌ,火,杖,50,悟りの境地,輪廻転生,44,332,322,2420
ニルヴァーナ・ドゥ,水,杖,50,悟りの境地,輪廻転生,44,332,322,2420
ニルヴァーナ・トリ,土,杖,50,悟りの境地,輪廻転生,44,332,322,2420
ニルヴァーナ・クヴァール,風,杖,50,悟りの境地,輪廻転生,44,332,322,2420
ニルヴァーナ・クヴィン,光,杖,50,悟りの境地,輪廻転生,44,332,322,2420
ニルヴァーナ・セス,闇,杖,50,悟りの境地,輪廻転生,44,332,322,2420
ケラウノス,土,杖,50,雷鳴の轟き,天変地異,66,336,231,2105
聖者の行進,　,杖,60,聖者の賦性,聖者の資質,44,332,368,2770
デモンズシャフト,　,杖,60,魔人の賦性,魔神の資質,66,336,298,2940
オリバー,風,銃,50,謀略と策謀の知恵,一攫千金,27,420,170,2571
ネブカドネザル,闇,銃,50,繚乱の死神,穢れなき手向け,24,435,167,2585
浄瑠璃,　,銃,60,大盗の賦性,大盗の資質,27,420,229,3465
鬼神の籠手,火,格闘,50,破壊を齎す強心,強者の余裕,36,372,235,2245
チャンピオンベルト,　,格闘,60,格闘王の賦性,格闘王の資質,36,372,317,3015
ローゼンボーゲン,風,弓,50,舞うは嵐の針山の如し,戦場の災禍,34,391,217,2388
メース,　,弓,60,猟犬の賦性,猟犬の資質,34,391,293,3210
ランゲレイク,水,楽器,50,失われし聖賢の譜,享楽の遊宴,67,331,232,2100
シャンゼリゼ,　,楽器,60,楽聖の賦性,楽聖の資質,67,331,299,2840
天叢雲剣,光,刀,50,天つ空なる明星の御霊,大蛇の神刀,30,411,179,2543
千子村正,闇,刀,50,九字護身法,冥暗の妖刀,26,431,175,2563
無銘金重,,刀,60,剣豪の賦性,剣豪の資質,30,411,241,3435
テトラストリーマ,,刀,60,四元の賦性,四元の資質,26,431,237,3455
マッドネスシリンジ,,銃,60,医術の賦性,医術の資質,38,364,309,3065
無垢なる竜の剣,-,剣,80,グラディウス・ルーベル,0,29,435,195,2594
無垢なる竜の短剣,,短剣,80,シーカー・ルーベル,0,33,402,224,2402
無垢なる竜の槍,,槍,80,ランセア・ルーベル,0,36,395,238,2350
無垢なる竜の斧,,斧,80,ラブリュス・ルーベル,0,23,478,165,2844
無垢なる竜の杖,,杖,80,バクラム・ルーベル,0,40,367,270,2162
無垢なる竜の筒,,銃,80,アルマ・ルーベル,0,22,480,157,2857
無垢なる竜の爪,,格闘,80,ルクトール・ルーベル,0,35,393,237,2328
無垢なる竜の弓,,弓,80,アルクス・ルーベル,0,30,439,206,2608
無垢なる竜の弦,,楽器,80,ムーシカ・ルーベル,0,61,381,224,2245
無垢なる竜の刃,,刀,80,マカエラ・ルーベル,0,24,479,163,2856
オメガスウォード,-,剣,100,グラディウス・ルーベル,0,29,435,228,3029
オメガバゼラード,,短剣,100,シーカー・ルーベル,0,33,402,263,2805
オメガバルーチャ,,槍,100,ランセア・ルーベル,0,36,395,278,2746
オメガファルシャ,,斧,100,ラブリュス・ルーベル,0,23,478,193,3317
オメガロッド,,杖,100,バクラム・ルーベル,0,40,367,317,2525
オメガシューター,,銃,100,アルマ・ルーベル,0,22,480,184,3332
オメガクロー,,格闘,100,ルクトール・ルーベル,0,35,393,277,2717
オメガボウ,,弓,100,アルクス・ルーベル,0,30,439,241,3042
オメガストリング,,楽器,100,ムーシカ・ルーベル,0,61,381,256,2621
オメガブレイド,,刀,100,マカエラ・ルーベル,0,24,479,190,3335
六道・道天浄土,光,剣,50,妃光の覇道,,29,380,180,2345
真・道天浄土,光,剣,50,妃光の覇道,道天の眩耀,29,380,210,2739
シャフレワル,土,剣,50,裁考の覇道,,39,391,200,2240
ラスト・シャフレワル,土,剣,50,裁考の覇道,裁考天の啓示,39,391,232,2611
六道・黄木天の箭,風,槍,50,人馬の覇道,,37,340,271,2427
真・黄木天の箭,風,槍,50,人馬の覇道,黄木天の箭,37,340,271,2427
六道・灼滅天の刃鎌,火,斧,50,灼滅の覇道,,25,400,199,2795
真・灼滅天の刃鎌,火,斧,50,灼滅の覇道,灼滅の赤爪,25,400,199,2795
六道・氷逆天の戦棍,水,杖,50,氷逆の覇道,,43,310,260,1940
真・氷逆天の戦棍,水,杖,50,氷逆の覇道,氷逆天の凍翼,43,310,303,2270
六道・裁考天の鳴弦,土,楽器,50,裁考の覇道,,63,318,250,2329
真・裁考天の鳴弦,土,楽器,50,裁考の覇道,裁考天の教理 ,63,318,250,2329
六道・普天幻魔,闇,刀,50,幻魔の覇道,,24,410,165,2430
真・普天幻魔,闇,刀,50,幻魔の覇道,普天の怨鎖,24,410,193,2835
焔ノ太刀,火,刀,50,灼滅の覇道,,26,400,168,2420
極マリシ烈火ノ太刀,火,刀,50,灼滅の覇道,灼滅天の憤怒,26,400,196,2825
