name,attribute,species,f_skill,s_skill,maxhp2,maxatk2
ミュルグレス,水,剣,霧氷の攻刃III,水の三手,290,3340
ベネディーア,火,銃,紅蓮の攻刃III,業火の克己,240,3600
ガンバンテイン,光,杖,天光の攻刃III,光の三手,380,2760
エターナル・ラヴ,風,短剣,乱気の攻刃III,竜巻の無双,320,3200
ブルトガング,闇,剣,奈落の攻刃III,闇の刹那,280,3370
エーケイ・フォーエイ,土,銃,地裂の攻刃III,土の乱舞,240,3580
エデン,光,槍,天光の攻刃III,雷電の渾身,340,3140
パラゾニウム,闇,短剣,奈落の攻刃III,闇の三手,310,3200
リユニオン,風,短剣,乱気の攻刃III,風の神威,310,3200
刃鏡片,土,短剣,地裂の無双II,土の刃界,330,3180
イクサバ,火,刀,紅蓮の攻刃III,業火の渾身,236,3620
ブルースフィア,水,杖,霧氷の攻刃III,渦潮の必殺,403,2780
フォールン・ソード,闇,剣,奈落の攻刃III,憎悪の渾身,,
サティフィケイト,光,斧,天光の攻刃III,雷電の必殺,280,3385
ウン・ハイル,闇,楽器,奈落の必殺,憎悪の恩寵,,
ケーリュケイオン,風,杖,乱気の攻刃,七宝石の結界,323,2530
ウコンバサラ,光,斧,天光の攻刃,魔女の結界,217,2980
ピラム,火,槍,紅蓮の攻刃,鷲王の結界,291,2610
氷晶杖,水,杖,氷晶宮の加護,水の攻刃,326,2520
閃刃の剣斧,風,斧,乱気の守護,呪われし矜持,228,3170
宝剣アンダリス,土,剣,地裂の攻刃,賢者の加護,245,2940
ダーインスレイブ,火,剣,紅蓮の攻刃,軍師の気構え,253,3010
緋紋の絢斧,火,斧,紅蓮の攻刃,暁の結界,222,3090
封鍵クラウストルム,光,杖,天光の攻刃,精霊の庇護,342,2560
ウロボロス,土,杖,地裂の攻刃,創られし従僕,337,2520
輝剣クラウ・ソラス,水,剣,霧氷の守護,聖騎士の誇り,259,2980
イリュージョンセプター,火,杖,紅蓮の攻刃,魔女の真髄,334,2530
フロッティ,光,剣,天光の守護,貴顕の防衛策,257,2990
エーテリアルボウ,風,弓,乱気の攻刃,艶美の術数,271,2980
雷公刃ユピテル,光,短剣,天光の攻刃,大胆不敵,289,2890
ガルガンチュア,土,槍,地裂の攻刃,未来の幻視,303,2680
